"","Equil.pop","Equil.pop.sd","Equil.pop.se","Equil.harvest","Equil.harvest.sd","Equil.harvest.se","speed","harvest","thresh","steps.harv","steps.move","req","management"
"108",1789.20168157297,126.122614042762,7.28169251684877,8.68322755826756,5.51520044756965,0.318420246303908,0.1,0.02,NA,101,700,0,"Few Large MPAs"
"109",1576.23999020825,172.483642078746,9.95834771849708,11.4082224137018,7.2702297077331,0.419746907883012,0.1,0.03,NA,101,500,0,"Few Large MPAs"
"110",1359.21352747426,204.577912500498,11.8113112852414,13.0715802601863,8.41470270537789,0.48582308721006,0.1,0.04,NA,101,700,0,"Few Large MPAs"
"111",1137.82845944907,219.949082568028,12.6987662028662,13.6745120044623,8.96065922743176,0.517343901707423,0.1,0.05,NA,101,700,0,"Few Large MPAs"
"112",912.108592109843,216.410272729966,12.4944529216046,13.20171031146,8.87402784871658,0.512342236725275,0.1,0.06,NA,101,500,0,"Few Large MPAs"
"113",681.037396626551,191.623313590369,11.0633771684407,11.5951672975212,8.04736452225275,0.464614807318967,0.1,0.07,NA,101,700,0,"Few Large MPAs"
"114",445.76285373951,144.877035756493,8.36447955934061,8.78540851155361,6.32327442961688,0.365074419409918,0.1,0.08,NA,101,700,0,"Few Large MPAs"
"115",212.674510783734,78.3269837572361,4.52221051570517,4.79220967099437,3.58443967270568,0.20694772099306,0.1,0.09,NA,101,700,0,"Few Large MPAs"
"116",43.3196446117981,20.7054887096262,1.19543194802054,1.09504752633305,0.89975625283189,0.0519474514777541,0.1,0.1,NA,101,700,0,"Few Large MPAs"
"117",3.10390944269134,2.94147206386354,0.169825968788538,0.0849908109028705,0.104961308639686,0.00605994397976183,0.1,0.11,NA,101,700,0,"Few Large MPAs"
"118",3.97132505959286,5.95808904568277,0.343990431438071,0.11423290291309,0.205435686749126,0.0118608349045764,0.1,0.12,NA,101,500,0,"Few Large MPAs"
"119",0.843861341089772,1.61905055743286,0.0934759275165477,0.0252441783199178,0.0568006663155473,0.00327938799874314,0.1,0.13,NA,101,500,0,"Few Large MPAs"
"120",0.178906087084091,0.40061679255051,0.0231296213020921,0.00551086293519308,0.0143664629925715,0.000829448127606395,0.1,0.14,NA,101,500,0,"Few Large MPAs"
"121",0.0376049674084149,0.0933444525669638,0.00538924448168948,0.00118501037142218,0.00342187208106477,0.000197561876713521,0.1,0.15,NA,101,500,0,"Few Large MPAs"
"122",0.00781125338958419,0.020837646194177,0.00120306206394863,0.000250681592166232,0.000780136636602653,4.50412097147231e-05,0.1,0.16,NA,101,500,0,"Few Large MPAs"
"123",0.00160050046489882,0.00449979315471616,0.000259795678917301,5.21409168610249e-05,0.000171845230054535,9.92148898309387e-06,0.1,0.17,NA,101,500,0,"Few Large MPAs"
"124",0.000323070996448831,0.000945205094275533,5.45714415619385e-05,1.0659014855908e-05,3.67748354557065e-05,2.12319611497564e-06,0.1,0.18,NA,101,500,0,"Few Large MPAs"
"125",6.41822261352557e-05,0.00019374993036794,1.11861574453402e-05,2.14077083584289e-06,7.67046189327194e-06,4.42854323888932e-07,0.1,0.19,NA,101,500,0,"Few Large MPAs"
"126",1.25385086522203e-05,3.88267217871484e-05,2.24166182755608e-06,4.22244571810048e-07,1.56234110351699e-06,9.02018056681549e-08,0.1,0.2,NA,101,500,0,"Few Large MPAs"
"127",2142.76587702249,0,0,0,0,0,0.12,0,NA,101,900,0,"Few Large MPAs"
"128",1934.55492985723,56.9066042785784,3.28550432989047,4.76455613974797,3.01295320326411,0.173952934296028,0.12,0.01,NA,101,900,0,"Few Large MPAs"
"129",1723.01647344048,104.308374023809,6.02224678213782,8.45235089141757,5.34094778373412,0.308359764066663,0.12,0.02,NA,101,900,0,"Few Large MPAs"
"130",1507.96156538825,140.585896598496,8.11673052454064,11.0666848362336,7.01592233191432,0.405064464694424,0.12,0.03,NA,101,900,0,"Few Large MPAs"
"131",1289.20441846297,164.076854045452,9.47298158509288,12.6053226012308,8.05618560756785,0.465124092917089,0.12,0.04,NA,101,900,0,"Few Large MPAs"
"132",1066.57354021776,173.164682247495,9.99766759097272,13.0556774938502,8.45569039475776,0.488189512559753,0.12,0.05,NA,101,900,0,"Few Large MPAs"
"133",839.924040861447,166.388651014151,9.60645324531191,12.3894408441263,8.17363734631879,0.471905172215553,0.12,0.06,NA,101,900,0,"Few Large MPAs"
"134",609.149949762065,142.565658169203,8.23103211211856,10.557575535641,7.12714939833193,0.411486162368162,0.12,0.07,NA,101,900,0,"Few Large MPAs"
"135",374.2871021551,100.937956294577,5.82765562381249,7.48866818819047,5.19086054052705,0.29969447303991,0.12,0.08,NA,101,900,0,"Few Large MPAs"
"136",141.836036715327,43.3220726833816,2.50120103256029,3.23183567666724,2.30552133458944,0.133109336314764,0.12,0.09,NA,101,900,0,"Few Large MPAs"
"137",10.4660560621226,5.03104095459344,0.290467284943855,0.265971619984037,0.219988824958511,0.0127010607308506,0.12,0.1,NA,101,900,0,"Few Large MPAs"
"138",0.162535129190878,0.167960642765201,0.00969721223137513,0.00446222586423277,0.00591351814385796,0.000341417129221413,0.12,0.11,NA,101,900,0,"Few Large MPAs"
"139",0.0018300214972985,0.00283293937073145,0.000163559830828969,5.31910212585889e-05,9.86415144110787e-05,5.69507048985086e-06,0.12,0.12,NA,101,900,0,"Few Large MPAs"
"140",1.92571206657974e-05,3.77264445687638e-05,2.17813729273433e-06,5.85440178344474e-07,1.34118891295593e-06,7.74335779929249e-08,0.12,0.13,NA,101,900,0,"Few Large MPAs"
"141",1.94139252014635e-07,4.43858826491877e-07,2.56262012957277e-08,6.12063771341166e-09,1.61862368919268e-08,9.34512822672097e-10,0.12,0.14,NA,101,900,0,"Few Large MPAs"
"142",1.87550772620633e-09,4.77949708594836e-09,2.75944392916332e-10,6.09180961914257e-11,1.78750595761414e-10,1.03201704580658e-11,0.12,0.15,NA,101,900,0,"Few Large MPAs"
"143",1.73263311885967e-11,4.78095099915386e-11,2.76028334634389e-12,5.76836318925662e-13,1.83141830957669e-12,1.05736985403291e-13,0.12,0.16,NA,101,900,0,"Few Large MPAs"
"144",1.52740535079894e-13,4.47579209350059e-13,2.58409977001937e-14,5.19133722276849e-15,1.75350597121298e-14,1.01238714450543e-15,0.12,0.17,NA,101,900,0,"Few Large MPAs"
"145",1.28234021232505e-15,3.93711084522348e-15,2.27309200631917e-16,4.43557116452961e-17,1.57524053280505e-16,9.09465545653405e-18,0.12,0.18,NA,101,900,0,"Few Large MPAs"
"146",1.02341788849087e-17,3.26092193205305e-17,1.88269415527718e-18,3.59385009586996e-19,1.33060354897358e-18,7.68224317184568e-20,0.12,0.19,NA,101,900,0,"Few Large MPAs"
"147",7.75081216218019e-20,2.54540312079207e-19,1.46958917698541e-20,2.75792391683804e-21,1.05793049982871e-20,6.10796458860022e-22,0.12,0.2,NA,101,900,0,"Few Large MPAs"
"148",2069.78442368789,0,0,0,0,0,0.14,0,NA,101,900,0,"Few Large MPAs"
"149",1859.7015174263,47.9823579983492,2.77026273066999,4.60126497957516,2.8965889537429,0.167234641217516,0.14,0.01,NA,101,900,0,"Few Large MPAs"
"150",1646.41780753427,86.9241103179125,5.01856584911155,8.13070299635668,5.11801939971264,0.295488987814182,0.14,0.02,NA,101,900,0,"Few Large MPAs"
"151",1429.802150631,115.621004336534,6.67538179776727,10.5831759675095,6.68206664879989,0.385789297842764,0.14,0.03,NA,101,900,0,"Few Large MPAs"
"152",1209.72841580841,132.881175382148,7.67189823771171,11.9474064778767,7.59322778131807,0.438395210356213,0.14,0.04,NA,101,900,0,"Few Large MPAs"
"153",986.080429581024,137.579608156633,7.94316238042351,12.2028524798427,7.83611958652463,0.452418575268209,0.14,0.05,NA,101,900,0,"Few Large MPAs"
"154",758.757046102029,128.71951137289,7.43162445410954,11.3165305728455,7.36960049470553,0.425484082943824,0.14,0.06,NA,101,900,0,"Few Large MPAs"
"155",527.682213955726,105.497249829683,6.09088655879325,9.24034597130271,6.12295759335759,0.353509121476167,0.14,0.07,NA,101,900,0,"Few Large MPAs"
"156",293.226702246075,67.4711695241078,3.89544978872825,5.91759106149951,4.00079261665467,0.230985869419744,0.14,0.08,NA,101,900,0,"Few Large MPAs"
"157",76.4655112091671,20.4873124663803,1.18283553674367,1.75150192700096,1.21619703895325,0.0702171687827285,0.14,0.09,NA,101,900,0,"Few Large MPAs"
"158",2.86330717707664,1.72939685554139,0.0998467740082512,0.0727193805612979,0.0674789469624624,0.00389589881934102,0.14,0.1,NA,101,900,0,"Few Large MPAs"
"159",0.0376253018595489,0.0437755149045232,0.00252738053140409,0.00103261954025711,0.00150816418950897,8.70739000795159e-05,0.14,0.11,NA,101,900,0,"Few Large MPAs"
"160",0.000414588660231432,0.000679131008754355,3.92096470719349e-05,1.21017000950372e-05,2.36264660697564e-05,1.36407465453734e-06,0.14,0.12,NA,101,900,0,"Few Large MPAs"
"161",4.33397329261122e-06,8.77631849300537e-06,5.06700984443054e-07,1.33112251247572e-07,3.14078154660162e-07,1.81333107139625e-08,0.14,0.13,NA,101,900,0,"Few Large MPAs"
"162",4.34577043422107e-08,1.0191482372565e-07,5.88405509124173e-09,1.39285691139641e-09,3.75866242459266e-09,2.17006476263151e-10,0.14,0.14,NA,101,900,0,"Few Large MPAs"
"163",4.17614490385258e-10,1.09108330257708e-09,6.29937238451183e-11,1.38742204850679e-11,4.14139529903897e-11,2.3910356907208e-12,0.14,0.15,NA,101,900,0,"Few Large MPAs"
"164",3.83836073807692e-12,1.0889555389624e-11,6.28708773555478e-13,1.31458450054728e-13,4.24585705799466e-13,2.45134671537389e-14,0.14,0.16,NA,101,900,0,"Few Large MPAs"
"165",3.36750213631195e-14,1.01890270873685e-13,5.88263753167257e-15,1.18362735152268e-15,4.07320964511207e-15,2.35166868507123e-16,0.14,0.17,NA,101,900,0,"Few Large MPAs"
"166",2.81470147502281e-16,8.96459344010117e-16,5.17571043581796e-17,1.01162840979814e-17,3.66802526593816e-17,2.11773537468374e-18,0.14,0.18,NA,101,900,0,"Few Large MPAs"
"167",2.23731593602684e-18,7.42811496231935e-18,4.28862417306657e-19,8.19807143152572e-20,3.10598816297088e-19,1.79324310199103e-20,0.14,0.19,NA,101,900,0,"Few Large MPAs"
"168",1.6882277757779e-20,5.80041355736257e-20,3.34887032875443e-21,6.29167313722741e-22,2.47507471430934e-21,1.42898505257094e-22,0.14,0.2,NA,101,900,0,"Few Large MPAs"
"169",1985.35334494072,0.0278507694810894,0.00160796492570452,0,0,0,0.16,0,NA,101,420,0,"Few Large MPAs"
"170",1773.79392745478,40.6434976704943,2.34655343208678,4.39811336319876,2.7621270012202,0.159471476769042,0.16,0.01,NA,101,620,0,"Few Large MPAs"
"171",1559.14829539211,72.8042790644796,4.20335701160339,7.72691959376399,4.85400277778922,0.28024598104038,0.16,0.02,NA,101,620,0,"Few Large MPAs"
"172",1341.30671793198,95.5672051621624,5.51757516260746,9.97500048324226,6.28330499468308,0.36276678300808,0.16,0.03,NA,101,620,0,"1341.30671793198"
"173",1120.17338380978,108.046342228069,6.23805847703299,11.124976425631,7.04575295920029,0.406786736763789,0.16,0.04,NA,101,620,0,"Few Large MPAs"
"174",898.280497038088,110.300489030617,6.36820170335739,11.1812655113192,7.14068461154748,0.412267618267516,0.16,0.05,NA,101,420,0,"Few Large MPAs"
"175",667.789401467194,98.9851828998947,5.71491219930386,10.0204940271416,6.46955408753755,0.373519879397665,0.16,0.06,NA,101,620,0,"Few Large MPAs"
"176",437.436757236042,76.3758908981421,4.40956411696398,7.70203494324528,5.04084243055359,0.29103317342226,0.16,0.07,NA,101,620,0,"Few Large MPAs"
"177",214.137590486474,43.8169061520519,2.52977025619438,4.33764134764812,2.88920936414784,0.166808580413595,0.16,0.08,NA,101,620,0,"214.137590486474"
"178",53.7235082364158,18.4041326409099,1.06256309344309,1.22968046488459,0.904769677278827,0.0522369016731541,0.16,0.09,NA,101,620,0,"53.7235082364158"
"179",18.7510296510165,15.7716756324829,0.910578117198547,0.473303839454462,0.541223628879366,0.0312475607825288,0.16,0.1,NA,101,500,0,"Few Large MPAs"
"180",2.09986195532848,2.77649333446153,0.160300917405457,0.057490793935099,0.093608773457119,0.00540450505539784,0.16,0.11,NA,101,540,0,"Few Large MPAs"
"181",0.0515441097725463,0.0901783976616349,0.0052064522165034,0.00150760423057002,0.00312779739513495,0.000180583466805177,0.16,0.12,NA,101,620,0,"0.0515441097725463"
"182",7.37083758302049,15.7674404436259,0.910333598455883,0.22658277413163,0.56087064663857,0.0323818818817338,0.16,0.13,NA,101,380,0,"Few Large MPAs"
"183",0.000371589920062534,0.000898781941113878,5.18911995644872e-05,1.20491504970263e-05,3.34319380560458e-05,1.93019384361889e-06,0.16,0.14,NA,101,620,0,"0.000371589920062534"
"184",0.307285563712257,0.82513095504936,0.0476389579014441,0.010375618789405,0.0316826689303287,0.0018291997435571,0.16,0.15,NA,101,420,0,"Few Large MPAs"
"185",1.012093494589,2.9524917412114,0.170462190156855,0.0353613268720192,0.116627966387447,0.00673351877888309,0.16,0.16,NA,101,380,0,"Few Large MPAs"
"186",0.523936279649951,1.63150469157588,0.094194967286547,0.0188840783446787,0.06630153976435,0.00382792118306341,0.16,0.17,NA,101,380,0,"Few Large MPAs"
"187",0.270598229446868,0.888944517621462,0.0513232356543393,0.0100191778529903,0.037075444649873,0.00214055179489293,0.16,0.18,NA,101,380,0,"Few Large MPAs"
"188",0.139259526553016,0.47823367266239,0.0276108339647174,0.00527863172643596,0.0204294993415309,0.00117949769442422,0.16,0.19,NA,101,380,0,"Few Large MPAs"
"189",2.22438678191263,7.94235919936333,0.458552322175312,0.0856942013790189,0.345084079838043,0.0199234386387548,0.16,0.2,NA,101,340,0,"Few Large MPAs"
"190",1889.53506051906,0,0,0,0,0,0.18,0,NA,101,900,0,"Few Large MPAs"
"191",1676.48814181472,34.4590437195839,1.98949381675188,4.16458174207919,2.60697366886405,0.150513694948892,0.18,0.01,NA,101,900,0,"Few Large MPAs"
"192",1460.42003530335,60.9938044424063,3.52147894137227,7.25810359821752,4.54619316644029,0.262474584843234,0.18,0.02,NA,101,900,0,"Few Large MPAs"
"193",1241.24692901932,78.8888136014787,4.55464777688639,9.26433583419219,5.81777416433151,0.335889347986125,0.18,0.03,NA,101,900,0,"Few Large MPAs"
"194",1018.88668668438,87.4594039876048,5.04947104354078,10.1614997812585,6.41123387267174,0.370152760222467,0.18,0.04,NA,101,900,0,"Few Large MPAs"
"195",793.259685282375,86.0726558339057,4.96940710155715,9.92083757495544,6.30268162992401,0.363885493565314,0.18,0.05,NA,101,900,0,"Few Large MPAs"
"196",564.291816813433,74.1691387242272,4.28215722079953,8.50531282030954,5.45253492244896,0.314802250524174,0.18,0.06,NA,101,900,0,"Few Large MPAs"
"197",332.115535745168,51.3208848906436,2.96301267066629,5.87202571442989,3.80634181461362,0.21975924712949,0.18,0.07,NA,101,900,0,"Few Large MPAs"
"198",108.276314665025,19.6119640517976,1.13229727246426,2.20142972543618,1.4477424361908,0.0835854485252001,0.18,0.08,NA,101,900,0,"Few Large MPAs"
"199",5.93420241175692,2.67938812516422,0.154694545532705,0.135994975383204,0.110327809459973,0.0063697790490817,0.18,0.09,NA,101,900,0,"Few Large MPAs"
"200",0.0874143115479929,0.0877398693984255,0.00506566372158436,0.0022063745322319,0.00288830771885326,0.00016675652389824,0.18,0.1,NA,101,900,0,"Few Large MPAs"
"201",0.00100569831724539,0.00149017269079336,8.60351604168575e-05,2.74985044368592e-05,4.95219740940543e-05,2.85915250740039e-06,0.18,0.11,NA,101,900,0,"Few Large MPAs"
"202",1.08898414154415e-05,2.04344786491529e-05,1.17978517488381e-06,3.18820890296938e-07,7.05995296260857e-07,4.07606574342816e-08,0.18,0.12,NA,101,900,0,"Few Large MPAs"
"203",1.1310342054371e-07,2.50275754488469e-07,1.44496774225554e-08,3.51299313427354e-09,9.01117069610255e-09,5.20260182710847e-10,0.18,0.13,NA,101,900,0,"Few Large MPAs"
"204",1.12709419523092e-09,2.8247604100345e-09,1.63087618312961e-10,3.68536070888756e-11,1.05735533546121e-10,6.10464387557614e-12,0.18,0.14,NA,101,900,0,"Few Large MPAs"
"205",1.07587621678247e-11,2.97483351551804e-11,1.71752093097866e-12,3.67908351240446e-13,1.15396963755685e-12,6.66244680880101e-14,0.18,0.15,NA,101,900,0,"Few Large MPAs"
"206",9.8198226035754e-14,2.94016737958554e-13,1.69750642806627e-14,3.49215114504766e-15,1.17836179382201e-14,6.8032749886591e-16,0.18,0.16,NA,101,900,0,"Few Large MPAs"
"207",8.55494082246029e-16,2.7350181935465e-15,1.5790634902826e-16,3.14867366499218e-17,1.1294796376651e-16,6.52105372850147e-18,0.18,0.17,NA,101,900,0,"Few Large MPAs"
"208",7.10150555045383e-18,2.39794719690272e-17,1.38445545963429e-18,2.6939915151153e-19,1.01803229910966e-18,5.87761221934694e-20,0.18,0.18,NA,101,900,0,"Few Large MPAs"
"209",5.60743450588163e-20,1.98269702746085e-19,1.14471066252599e-20,2.18484579901379e-21,8.63592591087757e-21,4.98595414934683e-22,0.18,0.19,NA,101,900,0,"Few Large MPAs"
"210",4.2046267193154e-22,1.54604739345974e-21,8.92610878793898e-23,1.67762452789105e-23,6.89674411962985e-23,3.98183707400026e-24,0.18,0.2,NA,101,900,0,"Few Large MPAs"
"211",1782.43103518222,2.85374419792089e-13,1.64760998086796e-14,0,0,0,0.2,0,NA,101,900,0,"Few Large MPAs"
"212",1568.00588169214,29.1889293717184,1.68522362301186,3.89706573537432,2.43386293454447,0.14051914204299,0.2,0.01,NA,101,900,0,"Few Large MPAs"
"213",1350.61508742911,50.9741499910904,2.94299392190684,6.72038104062075,4.20030080204103,0.242504479873579,0.2,0.02,NA,101,900,0,"Few Large MPAs"
"214",1130.18438621497,64.7820569841926,3.74019380384812,8.45008119714101,5.29392632197113,0.305644978706008,0.2,0.03,NA,101,900,0,"Few Large MPAs"
"215",906.640081038718,70.0670272470927,4.04532170424258,9.06123188800088,5.70005539769647,0.329092851825584,0.2,0.04,NA,101,900,0,"Few Large MPAs"
"216",679.909884863199,66.3250804465796,3.82928030498563,8.52281885044199,5.39276615184603,0.311351498944501,0.2,0.05,NA,101,900,0,"Few Large MPAs"
"217",449.946815631014,53.1113508725106,3.06638527232687,6.79717535717358,4.33355839082226,0.250198110349019,0.2,0.06,NA,101,900,0,"Few Large MPAs"
"218",218.322359947314,30.3127780603066,1.75010905730034,3.86757160055094,2.48869523497713,0.143684886384499,0.2,0.07,NA,101,900,0,"Few Large MPAs"
"219",34.6958228466497,7.58418650789026,0.437873212191477,0.705801145427825,0.47446301338003,0.0273931348495482,0.2,0.08,NA,101,900,0,"Few Large MPAs"
"220",0.827963409607666,0.582423498713397,0.0336262363764544,0.0189113052610083,0.0193375758421346,0.00111645546179312,0.2,0.09,NA,101,900,0,"Few Large MPAs"
"221",0.0104584112544046,0.0127919334889436,0.000738542624329739,0.000262838189765153,0.000403656475091502,2.33051174554214e-05,0.2,0.1,NA,101,900,0,"Few Large MPAs"
"222",0.000118322634293402,0.000195349983132438,1.12785365347702e-05,3.22630431473532e-06,6.39801673989592e-06,3.69389668705864e-07,0.2,0.11,NA,101,900,0,"Few Large MPAs"
"223",1.2783496756166e-06,2.57051555691471e-06,1.48408784874083e-07,3.74164711494318e-08,8.83003972077674e-08,5.09802580974554e-09,0.2,0.12,NA,101,900,0,"Few Large MPAs"
"224",1.32604806038285e-08,3.08204604145254e-08,1.77942011168745e-09,4.12971081829378e-10,1.10879166574803e-09,6.40161166694838e-11,0.2,0.13,NA,101,900,0,"Few Large MPAs"
"225",1.31932585050038e-10,3.43429752888825e-10,1.9827926027809e-11,4.33908315708909e-12,1.28917796694206e-11,7.44307246247333e-13,0.2,0.14,NA,101,900,0,"Few Large MPAs"
"226",1.25690980342757e-12,3.58661992328434e-12,2.07073597818909e-13,4.33738280351937e-14,1.39946709370558e-13,8.07982703272938e-15,0.2,0.15,NA,101,900,0,"Few Large MPAs"
"227",1.14466386042212e-14,3.52468275579216e-14,2.03497653786463e-15,4.12147879246872e-16,1.42461919779258e-15,8.22504277338254e-17,0.2,0.16,NA,101,900,0,"Few Large MPAs"
"228",9.94823794862856e-17,3.26573788677739e-16,1.88547464803369e-17,3.71939884780518e-18,1.36319727639213e-17,7.87042314483559e-19,0.2,0.17,NA,101,900,0,"Few Large MPAs"
"229",8.23739525108847e-19,2.85517257877798e-18,1.64843465694031e-19,3.18455934801605e-20,1.22769088960717e-19,7.08807665596352e-21,0.2,0.18,NA,101,900,0,"Few Large MPAs"
"230",6.48777742502849e-21,2.35589194771475e-20,1.36017485019478e-21,2.58412245378253e-22,1.04118499222132e-21,6.01128435535175e-23,0.2,0.19,NA,101,900,0,"Few Large MPAs"
"231",4.85236598418431e-23,1.83421501718991e-22,1.05898453392625e-23,1.9850171600685e-24,8.31579138199053e-24,4.801124392917e-25,0.2,0.2,NA,101,900,0,"Few Large MPAs"
"232",1664.08652083441,0.00296222052278414,0.000171023881622845,0,0,0,0.22,0,NA,101,500,0,"Few Large MPAs"
"233",1448.3087078903,24.6193920357034,1.42140126190983,3.59821410525488,2.24343175255169,0.129524592624427,0.22,0.01,NA,101,500,0,"Few Large MPAs"
"234",1229.62066351044,42.3108346306837,2.4428171763663,6.11908957963812,3.81849111270583,0.220460687181891,0.22,0.02,NA,101,500,0,"Few Large MPAs"
"235",1007.88355384893,52.5871510594462,3.03612058200868,7.53957083529916,4.71535675220394,0.272241249021006,0.22,0.03,NA,101,700,0,"Few Large MPAs"
