"","Equil.pop","Equil.pop.sd","Equil.pop.se","Equil.harvest","Equil.harvest.sd","Equil.harvest.se","speed","harvest","thresh","steps.harv","steps.move","req"
"72",1.24044095745838,1.16576730909707,0.0673056069719661,0.0389433101907134,0.0366001324345555,0.00211310963134665,0.06,0.08,NA,389,310,0
"73",0.339031519591012,0.52802895447917,0.0304857659008466,0.0121055553728195,0.018854174150261,0.00108854625210013,0.06,0.09,NA,251,303,0
"74",0.148487527218601,0.299930544340714,0.0173164980513302,0.00595644500927058,0.0120315279310023,0.00069464058897267,0.06,0.1,NA,188,302,0
"75",0.0847299196150516,0.203352097077209,0.0117405387987801,0.00378074331167574,0.00907383490175827,0.000523878102311236,0.06,0.11,NA,151,301,0
"76",0.0518012177228789,0.141476109259033,0.00816812697646035,0.00255020405570603,0.00696497056822289,0.000402122763246131,0.06,0.12,NA,127,301,0
"77",0.0339477529094503,0.102840959521753,0.00593752556636034,0.00183134676416483,0.00554787257762218,0.000320306572611991,0.06,0.13,NA,110,301,0
"78",0.0174585829839021,0.0576777241317294,0.0033300249553699,0.00102605979901088,0.00338978427282918,0.000195709286241269,0.06,0.14,NA,101,301,0
"79",0.00489521058145962,0.0174251790399621,0.00100604318093996,0.000311872023555841,0.00111015090622558,6.40945924550443e-05,0.06,0.15,NA,101,301,0
"80",0.00135858233079911,0.00516401118106658,0.000298144324548703,9.34240885507397e-05,0.000355107305612054,2.05021298486322e-05,0.06,0.16,NA,101,301,0
"81",0.000372922803416725,0.00150306393513428,8.67794367558995e-05,2.75753974500415e-05,0.000111142388330754,6.41680878211386e-06,0.06,0.17,NA,101,301,0
"82",0.000101171529102966,0.000429979406417689,2.48248726041249e-05,8.01768285215454e-06,3.40751350300794e-05,1.96732883822892e-06,0.06,0.18,NA,101,301,0
"83",2.71086212336054e-05,0.000120933198824565,6.98208148953254e-06,2.29566145938144e-06,1.02410686309428e-05,5.91268373086426e-07,0.06,0.19,NA,101,301,0
"84",7.16937597024731e-06,3.34440698772002e-05,1.93089427463982e-06,6.4707277864985e-07,3.01849301739631e-06,1.74272775614077e-07,0.06,0.2,NA,101,301,0
"85",2253.91678343007,0.100800192759214,0.00581970184238984,0,0,0,0.08,0,NA,101,366,0
"86",1935.82930769409,0.131647673636744,0.0076006819812362,7.37076716901711,0.000522930836428396,3.01914259179491e-05,0.08,0.01,NA,101,374,0
"87",1613.21357401708,0.176751829105714,0.0102047716113943,12.3212394153068,0.00139840574872605,8.07369935463304e-05,0.08,0.02,NA,117,385,0
"88",1285.96470538137,0.247483265101261,0.0142884529726141,14.7769544731887,0.0029247758864388,0.000168862014535477,0.08,0.03,NA,144,401,0
"89",953.99657757023,0.378308969296824,0.0218416785260371,14.66085683094,0.00593603713366807,0.000342717263704287,0.08,0.04,NA,182,426,0
"90",617.329120355087,0.675870829052553,0.0390214205090907,11.8952813005494,0.0131998442007184,0.000762093360254587,0.08,0.05,NA,244,471,0
"91",277.119302412476,1.59577836814908,0.0921323070417854,6.4279340086216,0.0372397802534047,0.00215003971538657,0.08,0.06,NA,375,580,0
"92",13.3778760744179,3.05090008050106,0.176143798274794,0.363828211345307,0.0829976823576751,0.00479187342513188,0.08,0.07,NA,750,585,0
"93",1.03293710006883,1.05576850937709,0.0609548233090795,0.0324457084246187,0.0331637881515869,0.00191471220166664,0.08,0.08,NA,389,316,0
